机构注册资金,机构地址,机构名称,机构批准机关,评估机构代码,机构批准文号,机构法人代表_首席合伙人_,证照类型名称,批准日期
10.0,东阳市人民路309号1-2楼,东阳市正兴资产评估事务所,浙江省财政厅,33080015,浙财会字[2008]56号,蒋虹,资产评估执业证书,2008-06-11
10.0,嘉兴市武原镇昭君弄一号恒隆广场A幢四楼,嘉兴东兴资产评估事务所,浙江省财政厅,33090006,浙财会字[2009]80号,陈义鑫,资产评估执业证书,2009-12-10
,杭州市上城区清吟街108号207室,中铭国际资产评估(北京)有限责任公司杭州分公司,浙江省财政厅,11020166-331301,浙财企[2013]218号,刘建平,资产评估执业证书,2013-07-15
10.0,乐清市乐成镇民丰路121号,乐清万里资产评估事务所(普通合伙),浙江省财政厅,33100003,浙财会[2010]14号,万建芬,资产评估执业证书,2010-03-12
30.0,绍兴市上虞区百官街道王充路588号德盛大厦1501室,绍兴市天马资产评估事务所（普通合伙）,浙江省财政厅,33080022,浙财会字[2008]71号,葛小玲,资产评估执业证书,2008-07-07
80.0,绍兴市东池路50号422,绍兴国标联合资产评估事务所,浙江省财政厅,33060007,浙财会字[2006]67号,姜晓军,资产评估执业证书,2006-10-19
10.0,淳安县千岛湖镇新安大街41号四楼,淳安诚盛资产评估事务所,浙江省财政厅,33080039,浙财会字[2008]96号,吕菊连,资产评估执业证书,2008-08-22
50.0,湖州市新天地写字楼21楼2116室,湖州恒生资产评估有限公司,浙江省国有资产管理局,33020129,浙国资评[2000]112号,沈茂方,资产评估执业证书,2000-02-01
50.0,杭州市下城区建国北路178-3-1、178-3-2号,杭州君安资产评估有限公司,浙江省财政厅,33030010,浙财会字（2003）35号,李胜,资产评估执业证书,2003-06-10
30.0,杭州市潮王路10号领骏世界大厦南206室,浙江华信资产评估有限公司,浙江省财政厅,33020088,浙财会字（2001）99号,嵇平,资产评估执业证书,2001-12-31
30.0,嘉兴市勤俭路159号发展大厦11楼,嘉兴诚洲资产评估有限公司,浙江省财政厅,33080028,浙财会字[2008]94号,唐勇,资产评估执业证书,2008-08-05
30.0,衢州市天官桥26幢1单元302,衢州广泽资产评估事务所（普通合伙）,浙江省财政厅,33020100,浙财会字（2001）99号,彭绍春,资产评估执业证书,2001-12-31
,杭州市文三路252号伟星大厦13楼,万隆（上海）资产评估有限公司浙江分公司,浙江省财政厅,31020033-331301,浙财企[2013]338号,孔照洪,资产评估执业证书,2013-10-24
30.0,丽水市汇洋新村3幢202室,丽水经济资产评估有限公司,浙江省国有资产管理局,33020086,浙国资评（2000）88号,詹东,资产评估执业证书,2000-01-21
200.0,海宁市海洲街道水月亭西路459号,海宁正泰联合资产评估有限公司,浙江省财政厅,33080001,浙财会字[2008]11号,郁永法,资产评估执业证书,2008-02-18
5000.0,杭州市江干区新业路8号华联时代大厦A幢1202室,天源资产评估有限公司,浙江省国有资产管理局,33020139,浙国资评[2000]26号,钱幽燕,资产评估执业证书,2000-01-10
50.0,嘉兴市南湖区由拳路309号紫御大厦1702室,嘉兴中明资产评估有限公司,浙江省财政厅,33090003,浙财会字[2009]19号,骆斌,资产评估执业证书,2009-03-04
30.0,永嘉罗浮大街148号,永嘉楠江资产评估有限公司,浙江省国有资产管理局,33020136,浙国资评（2000）50号,卢良华,资产评估执业证书,2000-01-19
30.0,绍兴市胜利东路海关旁人才大楼二楼,绍兴市中发资产评估事务所有限公司,浙江省财政厅,33020146,浙财会[2002]18号,张雅娟,资产评估执业证书,2002-03-27
60.0,台州市海洋广场1幢1501室,台州中天资产评估有限公司,浙江省国有资产管理局,33020047,浙国资评（1999）56号,任增辉,资产评估执业证书,1999-12-28
100.0,杭州市黄龙路5号黄龙恒励大厦4楼A、B座,浙江中瑞唯斯达资产评估有限公司,浙江省财政厅,33100004,浙财会[2010]28号,徐哲文,资产评估执业证书,2010-05-13
30.0,金华永康市永富南路15号,永康天正资产评估有限公司,浙江省国有资产管理局,33020106,浙国资评（2000）98号,应玲,资产评估执业证书,2000-01-25
30.0,金华市八一北街118号汇金国际商务中心八楼,金华汇金资产评估事务所,浙江省财政厅,33090004,浙财会字[2009]37号,程小瑜,资产评估执业证书,2009-05-20
30.0,长兴县雉城镇人民北路县府综合大楼二楼,湖州天衡资产评估事务所,浙江省财政厅,33080021,浙财会字[2008]75号,张红建,资产评估执业证书,2008-07-07
