Academic Year,Institution (English),Institution (Chinese),Level of study (English),Level of study (Chinese),Programme type (English),Programme type (Chinese),Programme name (English),Programme name (Chinese),Areas of Study,Areas of Study (Chinese),Normal programme duration
2023/24,Hong Kong Baptist University - Academy of Film,香港浸會大學電影學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Film Production (Editing and Sound Mixing Specialization),創意電影製作高級文憑 (專業範圍：剪接與混音),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - Academy of Film,香港浸會大學電影學院,Sub-degree,副學位,Higher Diploma,高級文憑課程,Higher Diploma in Creative Film Production (Script Writing Specialization),創意電影製作高級文憑 (專業範圍：編劇),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (Applied Social Service),文學副學士(應用社會服務),Social Sciences,社會科學,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (Business Administration),文學副學士(工商管理),Business and Management,商業及管理,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (Chinese for Professional Purposes),文學副學士(專業中文),Languages and Related Studies,語言及相關科目,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (Creative Communication),文學副學士(傳理學),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (Cultural Studies),文學副學士(文化研究),Humanities,人文科學,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,"Associate of Arts (Film, Television and Digital Media Studies)",文學副學士(電影、電視及數碼媒體學),"Mass Media and Communications, Journalism and Public Relations",大眾傳媒及傳播、新聞及公共關係,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (Financial Management),文學副學士(財務管理),Business and Management,商業及管理,2
2023/24,Hong Kong Baptist University - College of International Education,香港浸會大學國際學院,Sub-degree,副學位,Associate Degree,副學士學位課程,Associate of Arts (History and Hong Kong Studies),文學副學士(歷史及香港研究),Humanities,人文科學,2
