学年,院校(英文),院校(中文),学科级别(英文),学科级别(中文),课程类别(英文),课程类别(中文),课程名称(英文),课程名称(中文),学习范畴(英文),学习范畴(中文),一般修业期
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Nutrition and Food Management - Food Science and Safety,营养及食品管理高级文凭 - 食物科学及食品安全,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Sport and Recreation Management,体育及康乐管理高级文凭,Services,服务,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Sport Coaching and Sport Performance,运动教练学及运动表现高级文凭,Services,服务,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Surveying and Property Management,测量及物业管理高级文凭,Architecture and Town Planning,建筑及城市规划,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism and Events Management,旅游、会展及节目管理高级文凭,Services,服务,2
2023/24,HKU SPACE Po Leung Kuk Stanley Ho Community College,香港大学专业进修学院保良局何鸿燊小区书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Tourism and Hospitality Management,旅游及酒店管理高级文凭,Services,服务,2
2023/24,Hong Kong Adventist College,香港三育书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Enrolled Nursing (General),登记护士（普通科）高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Adventist College,香港三育书院,Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Health and Rehabilitation Services,健康与复康服务高级文凭,"Medicine, Dentistry and Health Sciences",医科、牙医学及健康科学,2
2023/24,Hong Kong Art School (a division of Hong Kong Arts Centre),香港艺术学院 (香港艺术中心附属机构),Degree,学士学位,Bachelor's Degree,学士学位课程,Bachelor of Arts (Fine Art),艺术文学士,"Arts, Design and Performing Arts",艺术、设计、表演艺术,3
2023/24,Hong Kong Art School (a division of Hong Kong Arts Centre),香港艺术学院 (香港艺术中心附属机构),Sub-degree,副学位,Higher Diploma,高级文凭课程,Higher Diploma in Fine Art,艺术高级文凭,"Arts, Design and Performing Arts",艺术、设计、表演艺术,2
