序号,代码,名称,最新价,涨跌额,涨跌幅,今开,最高,最低,昨收,成交量,成交额
258,2318,中国平安,31.15,-0.25,-0.8,30.95,31.45,30.65,31.4,39350481,1224356512.0
259,6886,华泰证券,8.72,-0.07,-0.8,8.74,8.84,8.66,8.79,2242155,19536048.0
260,819,天能动力,6.19,-0.05,-0.8,6.24,6.25,6.13,6.24,2452000,15164240.0
261,3678,弘业期货,1.23,-0.01,-0.81,1.23,1.23,1.21,1.24,433000,527530.0
262,2407,高视医疗,17.0,-0.14,-0.82,17.12,17.24,16.62,17.14,94500,1604198.0
263,87,太古股份公司B,9.7,-0.08,-0.82,9.76,9.81,9.7,9.78,667500,6508500.0
264,552,中国通信服务,3.61,-0.03,-0.82,3.62,3.65,3.57,3.64,4220135,15259855.0
265,553,南京熊猫电子股份,2.39,-0.02,-0.83,2.4,2.43,2.37,2.41,736000,1765420.0
266,322,康师傅控股,8.3,-0.07,-0.84,8.31,8.39,8.24,8.37,4943329,41047213.0
267,6660,艾美疫苗,8.25,-0.07,-0.84,8.17,8.47,8.16,8.32,170600,1415428.0
268,867,康哲药业,7.0,-0.06,-0.85,7.05,7.07,6.85,7.06,14261051,99412644.0
269,9896,名创优品,40.35,-0.35,-0.86,40.9,41.75,39.25,40.7,2946937,118082596.0
270,2388,中银香港,22.65,-0.2,-0.88,22.6,22.7,22.35,22.85,8215809,185784609.0
271,2333,长城汽车,11.02,-0.1,-0.9,11.0,11.1,10.58,11.12,18164565,197371858.0
272,1972,太古地产,14.98,-0.14,-0.93,15.12,15.12,14.82,15.12,1905049,28477588.0
273,3908,中金公司,8.52,-0.08,-0.93,8.6,8.62,8.45,8.6,13941531,118727627.0
274,659,新创建集团,6.32,-0.06,-0.94,6.35,6.38,6.28,6.38,706000,4461240.0
275,6069,盛业,4.21,-0.04,-0.94,4.27,4.27,4.09,4.25,969000,4026890.0
276,9992,泡泡玛特,31.5,-0.3,-0.94,31.85,32.2,31.05,31.8,3815776,119723632.0
277,412,山高控股,5.25,-0.05,-0.94,5.3,5.36,5.14,5.3,3682000,19251310.0
278,9993,金辉控股,2.05,-0.02,-0.97,2.1,2.16,2.05,2.07,1330000,2775920.0
279,2328,中国财险,10.14,-0.1,-0.98,10.18,10.26,9.88,10.24,33975552,342231744.0
280,302,中手游,1.01,-0.01,-0.98,1.03,1.03,0.99,1.02,9919100,9973511.0
281,358,江西铜业股份,16.14,-0.16,-0.98,16.36,16.64,15.88,16.3,12587374,204525664.0
282,2128,中国联塑,2.97,-0.03,-1.0,3.01,3.01,2.96,3.0,6431115,19156780.0
283,267,中信股份,6.93,-0.07,-1.0,7.0,7.0,6.83,7.0,17954758,123999990.0
284,3668,兖煤澳大利亚,29.6,-0.3,-1.0,29.9,29.95,29.2,29.9,2157600,63761775.0
285,1375,中州证券,0.97,-0.01,-1.02,0.99,0.99,0.97,0.98,1139000,1118250.0
286,1238,宝龙地产,0.485,-0.005,-1.02,0.485,0.49,0.475,0.49,2788000,1339525.0
287,2273,固生堂,42.0,-0.45,-1.06,42.55,42.55,41.0,42.45,401498,16819565.0
288,1776,广发证券,7.29,-0.08,-1.09,7.37,7.44,7.21,7.37,2399505,17533766.0
289,960,龙湖集团,9.1,-0.1,-1.09,9.02,9.14,8.89,9.2,13542127,121994581.0
290,6869,长飞光纤光缆,8.85,-0.1,-1.12,8.96,8.96,8.72,8.95,1825000,16014475.0
291,788,中国铁塔,0.88,-0.01,-1.12,0.89,0.89,0.86,0.89,293602528,257496380.0
292,719,山东新华制药股份,5.25,-0.06,-1.13,5.27,5.3,5.22,5.31,590000,3098220.0
293,586,海螺创业,5.22,-0.06,-1.14,5.24,5.28,5.19,5.28,15964458,83335718.0
294,9885,药师帮,7.82,-0.09,-1.14,7.8,7.99,7.73,7.91,679600,5301124.0
295,780,同程旅行,21.65,-0.25,-1.14,21.7,21.85,21.1,21.9,13782204,297332944.0
296,2601,中国太保,15.56,-0.18,-1.14,15.7,15.8,15.44,15.74,16250050,253685075.0
297,683,嘉里建设,13.82,-0.16,-1.14,13.92,13.92,13.72,13.98,700500,9665193.0
298,6110,滔搏,5.17,-0.06,-1.15,5.22,5.24,5.1,5.23,5181099,26913074.0
299,1942,马可数字科技,0.86,-0.01,-1.15,0.87,0.93,0.86,0.87,32272000,28602000.0
300,6055,中烟香港,10.28,-0.12,-1.15,10.4,10.46,10.22,10.4,667000,6898260.0
301,1882,海天国际,25.6,-0.3,-1.16,25.9,26.35,25.1,25.9,2454849,63000499.0
302,27,银河娱乐,33.65,-0.4,-1.17,33.75,34.15,33.35,34.05,20907094,705299216.0
303,3369,秦港股份,1.66,-0.02,-1.19,1.66,1.69,1.66,1.68,1426000,2392695.0
304,3319,雅生活服务,2.49,-0.03,-1.19,2.53,2.53,2.46,2.52,21183250,52652107.0
305,9878,汇通达网络,28.95,-0.35,-1.19,28.9,29.0,28.0,29.3,84800,2408795.0
306,220,统一企业中国,5.74,-0.07,-1.2,5.71,5.83,5.7,5.81,2018582,11607067.0
307,520,呷哺呷哺,1.61,-0.02,-1.23,1.63,1.63,1.57,1.63,3894000,6204222.0
308,966,中国太平,6.39,-0.08,-1.24,6.45,6.51,6.35,6.47,3640125,23313589.0
309,1109,华润置地,23.5,-0.3,-1.26,23.45,23.75,23.0,23.8,11799619,276526224.0
310,1381,粤丰环保,3.91,-0.05,-1.26,3.96,3.98,3.87,3.96,503000,1963090.0
311,2588,中银航空租赁,61.9,-0.8,-1.28,62.2,63.05,61.2,62.7,526327,32605210.0
312,1157,中联重科,6.19,-0.08,-1.28,6.3,6.32,6.15,6.27,9739113,60359677.0
313,5,汇丰控股,61.85,-0.8,-1.28,61.95,62.05,61.25,62.65,27750546,1708865648.0
314,1083,港华智慧能源,2.99,-0.04,-1.32,3.0,3.02,2.98,3.03,1092000,3276708.0
315,148,建滔集团,14.72,-0.2,-1.34,14.88,14.88,14.44,14.92,2552636,37333854.0
316,293,国泰航空,8.06,-0.11,-1.35,8.15,8.19,8.0,8.17,6150828,49584886.0
317,1765,希教国际控股,0.219,-0.003,-1.35,0.223,0.225,0.217,0.222,15012000,3305308.0
318,2020,安踏体育,83.8,-1.15,-1.35,83.9,84.4,82.1,84.95,6391633,533230576.0
319,1299,友邦保险,47.2,-0.65,-1.36,47.9,48.1,46.7,47.85,52963277,2511263648.0
320,187,京城机电股份,2.17,-0.03,-1.36,2.18,2.22,2.15,2.2,696000,1514380.0
321,981,中芯国际,14.32,-0.2,-1.38,14.32,14.44,14.16,14.52,17427630,248698649.0
322,14,希慎兴业,11.38,-0.16,-1.39,11.54,11.54,11.14,11.54,1287021,14619121.0
323,2618,京东物流,7.58,-0.11,-1.43,7.51,7.64,7.46,7.69,5780291,43646904.0
324,3323,中国建材,2.73,-0.04,-1.44,2.77,2.81,2.72,2.77,28186923,77594037.0
325,697,首程控股,1.36,-0.02,-1.45,1.38,1.38,1.35,1.38,598400,814328.0
