股票代码,股票简称,关注,最新价
SH600506,统一股份,2256,11.12
SH600893,航发动力,2251,35.07
SZ000893,亚钾国际,2249,17.7
SH600123,兰花科创,2248,9.09
SZ002313,日海智能,2246,8.27
SH601669,中国电建,2243,5.1
SZ300528,幸福蓝海,2240,7.18
SH600203,福日电子,2240,6.15
SZ301159,三维天地,2235,30.24
SH603379,三美股份,2231,38.83
SZ300182,捷成股份,2231,4.8
SH600449,宁夏建材,2227,13.97
SZ002605,姚记科技,2224,22.53
SZ300548,博创科技,2222,23.41
SZ002316,亚联发展,2221,3.63
SZ000037,深南电A,2219,8.2
SZ002657,中科金财,2217,13.1
BJ831526,凯华材料,2217,18.3
SZ300751,迈为股份,2210,105.25
SZ300049,福瑞股份,2207,50.28
SZ002050,三花智控,2200,21.99
SH603628,清源股份,2198,14.83
SH603688,石英股份,2194,82.85
SH600775,南京熊猫,2191,8.82
SZ002458,益生股份,2188,9.53
SH600189,泉阳泉,2180,7.95
SH601058,赛轮轮胎,2178,16.69
SH688050,爱博医疗,2177,137.61
SH603773,沃格光电,2177,25.2
SH688535,华海诚科,2174,66.21
SH603363,傲农生物,2174,3.66
SH603158,腾龙股份,2159,7.58
SH688249,晶合集成,2147,14.45
SH600863,内蒙华电,2146,4.47
SZ300558,贝达药业,2145,39.03
SZ301499,维科精密,2144,22.2
SH603037,凯众股份,2138,20.72
SZ301316,慧博云通,2137,16.48
SH603933,睿能科技,2137,13.9
SH603236,移远通信,2132,38.56
SZ001298,好上好,2129,23.04
SH600996,贵广网络,2126,6.64
SZ300780,德恩精工,2126,15.16
SH600066,宇通客车,2124,23.59
SH688017,绿的谐波,2123,118.48
SH600330,天通股份,2122,7.21
SZ000933,神火股份,2121,21.53
SZ300226,上海钢联,2116,19.22
SZ300688,创业黑马,2116,21.71
SZ000526,学大教育,2110,67.35
SZ003021,兆威机电,2105,56.94
SZ000609,中迪投资,2103,3.7
SZ000750,国海证券,2099,3.2
SZ300380,安硕信息,2096,14.8
SZ000810,创维数字,2095,10.01
SH603273,天元智能,2091,21.22
SZ300313,*ST天山,2085,6.72
SZ000596,古井贡酒,2079,262.6
SH600918,中泰证券,2078,6.26
SZ002077,大港股份,2076,12.65
SZ002101,广东鸿图,2069,12.17
SH688322,奥比中光-UW,2066,26.85
SH688347,华虹公司,2065,29.16
SH600373,中文传媒,2065,14.81
SH600985,淮北矿业,2061,17.93
SZ000815,美利云,2054,8.55
SH600027,华电国际,2052,6.79
SZ002670,国盛金控,2051,8.92
SH601108,财通证券,2045,7.33
SH601607,上海医药,2043,17.68
SH603589,口子窖,2043,39.29
SZ300130,新国都,2040,21.83
SH600776,东方通信,2039,9.49
SH600322,津投城开,2038,1.53
SZ300083,创世纪,2036,6.06
SH600338,西藏珠峰,2027,8.6
SH688443,智翔金泰-U,2026,40.18
SZ301348,蓝箭电子,2021,29.06
SH600873,梅花生物,2020,10.5
SH601872,招商轮船,2019,8.5
SH600199,金种子酒,2019,14.86
SH601898,中煤能源,2018,11.25
SH688076,诺泰生物,2016,53.97
SH600062,华润双鹤,2015,21.05
SZ300859,*ST西域,2014,31.41
BJ873593,鼎智科技,2011,32.47
SZ301421,波长光电,2009,39.97
SZ002585,双星新材,2009,5.98
SZ000729,燕京啤酒,2005,9.41
SZ002044,美年健康,2003,4.48
SH600754,锦江酒店,1999,27.26
SZ300363,博腾股份,1999,16.36
SZ301085,亚康股份,1996,45.8
SH688072,拓荆科技,1994,182.39
SZ000070,特发信息,1990,7.57
SZ000719,中原传媒,1990,10.31
SZ002719,麦趣尔,1988,6.87
SH600588,用友网络,1987,11.33
SZ000890,法尔胜,1982,3.37
SH601816,京沪高铁,1978,5.17
SZ300085,银之杰,1978,9.66
SH600004,白云机场,1977,10.24
SH600853,龙建股份,1974,3.64
SZ300166,东方国信,1971,7.07
SZ001339,智微智能,1969,26.78
SZ002244,滨江集团,1969,5.73
SZ300844,山水比德,1969,26.1
SH688262,国芯科技,1966,18.37
SH600372,中航机载,1964,12.0
SH601236,红塔证券,1959,7.02
SZ300660,江苏雷利,1958,26.84
SZ001309,德明利,1958,122.37
SH600531,豫光金铅,1951,6.47
SZ002997,瑞鹄模具,1949,29.63
SZ000807,云铝股份,1948,13.83
SH600814,杭州解百,1947,6.14
SZ300847,中船汉光,1947,16.13
SZ000756,新华制药,1946,15.4
SZ301172,君逸数码,1946,33.12
SZ300713,英可瑞,1944,12.29
SH603569,长久物流,1943,8.87
SH601666,平煤股份,1939,13.0
SZ002869,金溢科技,1933,17.98
SH688166,博瑞医药,1930,27.07
SZ002893,京能热力,1928,9.63
SH600674,川投能源,1928,16.81
SH600715,文投控股,1922,1.89
SZ300707,威唐工业,1920,11.88
SZ002736,国信证券,1917,8.76
SZ300793,佳禾智能,1911,12.69
SZ300556,丝路视觉,1911,20.2
SZ002803,吉宏股份,1908,15.77
SZ301311,昆船智能,1900,19.53
SZ002699,*ST美盛,1895,0.43
SH688609,九联科技,1893,9.74
SH688390,固德威,1892,91.07
SZ002338,奥普光电,1892,27.99
SH600497,驰宏锌锗,1892,5.53
SH600905,三峡能源,1889,4.7
SZ002698,博实股份,1888,14.97
SZ002234,民和股份,1886,9.51
SZ002007,华兰生物,1885,19.01
SZ301297,富乐德,1881,19.33
SZ002279,久其软件,1878,5.05
SZ300812,易天股份,1875,22.7
SZ002747,埃斯顿,1873,16.95
SH600325,华发股份,1873,5.97
SZ003005,竞业达,1871,24.02
SH603168,莎普爱思,1870,8.46
SH601168,西部矿业,1868,19.68
SZ300113,顺网科技,1866,10.65
SZ300231,银信科技,1863,8.33
SZ002019,亿帆医药,1863,12.64
SZ000560,我爱我家,1861,1.56
SZ002597,金禾实业,1856,21.53
SZ300192,科德教育,1855,10.22
SH603286,日盈电子,1855,17.1
