序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
576,2274,华昌化工,7.86,2.34,0.18,205101.0,162914204.54,4.56,8.08,7.73,7.76,7.68,1.36,2.19,11.96,1.44,7485586118.0,7372673162.0,-0.38,-0.25,0.64,4.11
577,669,ST金鸿,1.31,2.34,0.03,211353.0,26694620.56,8.59,1.33,1.22,1.25,1.28,2.43,3.11,-40.95,1.97,891335524.0,891335524.0,0.77,0.77,-38.5,-43.78
578,2252,上海莱士,6.99,2.34,0.16,505853.0,354315072.35,5.12,7.15,6.8,6.8,6.83,1.77,0.76,19.49,1.56,46451910498.0,46433387697.0,0.0,-0.14,-2.37,-12.63
579,2888,惠威科技,13.11,2.34,0.3,58044.0,75738717.0,7.81,13.49,12.49,13.08,12.81,1.3,7.68,1225.23,4.91,1961409125.0,991122896.0,-0.38,-0.23,-38.19,-47.77
580,300893,松原股份,28.85,2.34,0.66,22030.0,63225644.72,5.5,29.15,27.6,28.0,28.19,1.24,1.96,32.91,6.11,6508560000.0,3245849107.0,-0.55,-0.45,2.56,-1.3
581,2981,朝阳科技,27.56,2.34,0.63,21467.0,59419709.0,6.61,28.5,26.72,26.86,26.93,0.94,2.53,25.88,3.08,2645760000.0,2335710000.0,-0.07,-0.29,-22.19,-20.62
582,300627,华测导航,26.7,2.34,0.61,155865.0,415669780.14,8.7,27.64,25.37,26.03,26.09,2.02,3.49,32.4,4.84,14550866489.0,11938191843.0,-0.15,-0.22,-2.05,-13.93
583,688656,浩欧博,22.86,2.33,0.52,3844.0,8697388.0,3.94,22.95,22.07,22.35,22.34,0.77,0.61,30.08,1.78,1441513378.0,1441513378.0,0.26,0.26,-32.33,-34.23
584,688606,奥泰生物,72.64,2.32,1.65,8896.0,64288008.0,6.11,73.88,69.54,70.64,70.99,1.4,2.25,31.99,1.51,5758961307.0,2872930523.0,-0.49,-0.19,12.53,5.89
585,1259,利仁科技,22.02,2.32,0.5,19024.0,41075943.0,6.88,22.28,20.8,21.52,21.52,0.85,8.68,72.83,2.14,1620427314.0,482874114.0,-0.05,-0.05,-28.6,-22.25
586,426,兴业银锡,13.23,2.32,0.3,590409.0,769522414.03,4.95,13.34,12.7,12.72,12.93,1.0,3.99,33.57,4.0,24306053057.0,19552350574.0,0.38,0.23,38.39,45.7
587,2800,ST天顺,14.58,2.32,0.33,9459.0,13724286.7,4.7,14.74,14.07,14.19,14.25,0.78,0.93,-36.57,3.09,1585606945.0,1475226270.0,0.41,0.41,-13.01,-15.08
588,600885,宏发股份,27.84,2.32,0.63,130058.0,361948963.0,4.56,28.35,27.11,27.21,27.21,1.43,1.25,20.84,3.63,29028092351.0,29028092351.0,0.14,0.04,7.2,0.72
589,603880,ST南卫,3.54,2.31,0.08,23020.0,7923329.0,5.78,3.55,3.35,3.45,3.46,1.05,0.8,-7.02,2.21,1035357960.0,1023208680.0,0.0,0.85,-29.9,-30.45
590,2966,苏州银行,7.55,2.3,0.17,808752.0,611657247.56,6.64,7.83,7.34,7.37,7.38,2.15,2.27,5.52,0.73,27683890405.0,26906664375.0,0.27,0.0,12.18,16.87
591,603048,浙江黎明,13.79,2.3,0.31,33999.0,46806433.0,5.19,14.11,13.41,14.11,13.48,1.54,9.01,51.46,1.58,2025475200.0,520158800.0,0.22,0.07,-27.61,-25.74
592,600660,福耀玻璃,46.35,2.3,1.04,199593.0,924217010.0,4.26,46.88,44.95,45.02,45.31,1.85,1.0,21.49,3.85,120961612708.0,92838416488.0,0.0,0.0,19.98,23.96
